Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
197,Picture,Eduardo Kobra,Mural of the United Nations,2022,United States,"Two large figures - an adult person wearing a hat and a young person. Both are painted in vibrant colors. They are holding the Earth together. The background has an abstract geometric pattern. Colors: a spectrum of colors from the rainbow, with each figure predominantly featuring different shades. (Note: this mural was painted at the headquarters of the United Nations in New York, depicting a father handing the planet to their daughter).",https://twitter.com/kobrastreetart/status/1633596818167840770,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
199,Picture,Dan Manrique Arias,Hands in Solidarity,(Unknown),United States,"A series of human figures, in colors of red, blue, and yellow, with a few figures in muted shades. The figures are interconnected, holding hands or raising their arms. The background has bands of color. At the top, the phrase ""HANDS IN SOLIDARITY"" can be seen. Dominant colors: red, blue, and yellow, with some figures in subdued tones. ",https://www.cpusa.org/wp-content/uploads/2020/04/Solidarity-mural-in-Chicago-copy.jpg,Terence Faircloth (Creative Commons (BY-SA 4.0).,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
200,Picture,ABU MALIK AL-SHAMI,Hope: A message of hope on a mountain of skulls and on the wall of a destroyed house,2014,Syria,"Artwork set against a backdrop of a dilapidated building, possibly war-torn or abandoned. On a fragment of wall, there's a mural of a person in a blue dress, reaching out to the word ""Hope"" painted above them. Beneath their feet is a layer of skulls, painted in blue with some inscriptions, including ""DMC"" and text in Arabic. Dominant colors: white and blue. ",https://ichef.bbci.co.uk/news/800/cpsprodpb/C8BF/production/_91519315_syria3.gif.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18
201,Picture,DRAW,(untitled) @ Blue Wall Faces,2013,Portugal,"Three large grayscale facial expressions of a person (possiblt«y a woman), each showcasing different emotions. The backdrop is painted in deep blue with white streaks, resembling either rain or dripping paint. Colors: Predominantly grayscale (for the faces) and deep blue with white streaks.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
202,Picture,Mabel Vicentef,Ballena Cachalote,2018,Spain,"An underwater scene where a child sits atop a gigantic whale, reading a book. The whale is surrounded by green birds in flight. In the corner, there's a signature or tag of the artist. Dominant colors: shades of blue for the water, gray for the whale, and greens for the birds. The child has a pink-striped shirt and a colorful backpack.",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
203,Picture,Alexandre Keto,(Unknown Title),2019,United States,"Side profiles of two individuals, a older person and a younger individual. The older person appears to be handing over a red apple to the youger person. The older person has a detailed hairstyle adorned with white beads, the younger individual is wearing a cap. Background with striped patterns in yellow and light blue, with detailed plants, flowers, and small yellow birds. The bottom section is a red with stylized blue leaves and symbols. There's the artist signature at the bottom right. Dominant colors: yellow, light blue, deep red, and green. Warm tones of the individuals' skin.",https://www.alexandreketo.com/murals?pgid=k6i6r6hl-8a35b355-2545-4070-a85f-559815870297&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90
204,Picture,Bandit,Dress Me Up for Battle,2022,United States,"Monochromatic scene with the text ""DRESS ME UP FOR BATTLE"" at the top, followed by ""WHEN ALL I WANT IS PEACE"" and ""THOSE OF US WHO PAY THE PRICE COME HOME WITH THE LEAST"". Below the text is a group of individuals in a boat, rowing amidst stormy waters. One person in the boat holds up a flag with a splash of color, blue and gold. There's a signature os the artist at the bottom right.",https://www.instagram.com/p/CanzhvDpf_p/,_@photographyartl,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
207,Picture,Marthalicia Matarrita (MC2),THE CARING & THE NEEDING,2018?,United States,"A large, smiling face, seemingly of a young individual. Above the face, there is a hand holding a plant, which has bright green leaves and flowers. The word ""EDUCATION"" is inscribed on the wrist of the hand.Dominant colors include earthy tones such as browns and greens, with splashes of yellow, purple, and blue.",https://images.squarespace-cdn.com/content/v1/5592c8c9e4b0cfb74f3b5b16/1486652090826-RM0D1HJBF777QHU5ZO2M/_J7A8367.jpg?format=1500w,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
209,Picture,Philippe Hérard,(Unknown Title),2016,France,"A sprawling mass of buildings, all tightly packed and leaning in various directions, as if they are on the verge of collapse. The structures are depicted in a muted, beige color. The buildings lack windows, doors, and other details that would make them functional, suggesting a dilapidated and abandoned state. In the foreground, a figure is standing on a solitary building. This figure is observing the chaotic mass of buildings. The figure is small in comparison to the overwhelming number of structures. The background features a pale blue sky. The ground on which the buildings rest appears barren and desolate. Dominant colors: beige, light brown, and light blue. (Based on the artist comments, it depicts men in cardboard kraft houses against a soft blue sky, inspired by the 2013 migrant influx to France. It reflects on the tough realities these individuals faced while seeking a better life that often remains out of reach. The artist uses this visual narrative to address this societal issue.)","https://static.wixstatic.com/media/461579_3f0c69dc8d814b51b6d17e217a74eb51~mv2.jpg/v1/fill/w_1315,h_689,al_c,q_85,enc_auto/461579_3f0c69dc8d814b51b6d17e217a74eb51~mv2.jpg
https://www.phherard.com/",https://www.phherard.com/,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
210,Picture,OU (Erik Burke),Education Is Your Shield and Trophy,2016,United States,"Shows a child enveloped in a blanket, cradled in its a person's arms. The person and child are rendered in a warm blue hue against a black background, resting above a bursting array of orange and yellow flowers with green leaves. Overlapping the images is the phrase: ""The greatest education is your shield and trophy"". Dominant colors: blue, red, orange, and green. ",https://eriktburke.com/Harlem-Public-School,OU (Erik Burke),,,,,,,,,,,,,,,,,,,,,,,,,,2.17
212,Picture,Philippe Hérard,(Unknown Title),2019,France,"A shirtless person holding a yellow oar or paddle vertically. The person appears to be looking up with a shocked expression on their face, mouth open wide. They are wearing a swim cap. Above their head, there is a large hand in white and yellow, positioned directly on top of their head, as if it is pressing their down. The background is relatively plain. Dominant colors include pale blues, grays, whites, and yellow.
",https://www.instagram.com/p/BxrLL_wiWqY/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
214,Picture,NARK,"Apenas o Coração Pode Bater (""Only the Heart Can Beat"")",2017,Portugal,"A young person in a turquoise dress has a toy teddy bear with a blue ribbon near them. Above them, there are two hands manipulating puppet strings, suggesting that they are under someone's control. The background is a gradient of colors transitioning from dark to a vibrant red. Dominant colors include shades of red, turquoise, brown, and beige.",,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,1.09
219,Picture,Philippe Hérard,Jour 36,2020,Italy,"A person seemingly merging with a large cardboard box. The box has an outline of a human figure drawn on it, matching the man’s body. The person is holding the box close to their body with both arms, almost embracing it. their head is tilted to the side, resting on the top of the box. Only their feet are visible at the bottom, wearing red shoes that contrast with the muted tones of the cardboard and their skin. The background is blue.", https://www.instagram.com/p/CFY198qFCVl/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
220,Picture,Mabel Vicentef,Redwoods,2019,United States,"A young person lying on their back, their legs bent at the knees, lying on the grass, with their shoes almost touching the sidewalk below. Above them, a wooden fence forms the background, with a scene of two young people with backpacks. Birds are painted both in the background and in the sky above. Dominant colors: shades of pink, green, blue, and brown.",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1566526236845-65S297VF2EQDBXLDZDCQ/IMG-2658.JPG?format=2500w,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
224,Picture,Krimsone & Scott Nagy ,Not A Crime Newtown,2015,Australia,"A bird with a pencil-like pointed beak, soaring over an assortment of items such as a ruler, sharpener, cassette tape, pencil, and a book with the text ""#Education Cannot Be a Crime"". Colors of gray, brown, blue, red, green, gold, and pink. (Note: Created for the #NotACrime campaign. Based on the artistis comments, it features the Persian national bird, the nightingale, depicted taking flight with the aid of educational tools. Grey strings represent governmental control attempts to trap its wings, symbolizing the impediments to the right to education, reflecting the struggles of the bird and the people to ascend and thrive).",https://images.squarespace-cdn.com/content/v1/570a248a1d07c04972354a18/1470359631255-L7SJSBC15K9RYTAJAV3S/Mural+i+for+Not+a+crime+campaign%2C+with+scott+nagy%2C+Newtown..jpg?format=1500w,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38
232,Picture,Artez,Bookworm,2017,Italy,"A person, wearing glasses and a pink shirt, holding a large stack of colorful books. Perched atop the books is a gray cat. In the backdrop, there are plant leaves and a floating cup spilling liquid, possibly tea or coffee. Colors: Pink, gray, brown, green, blue, yellow, and white.",https://www.instagram.com/p/Bas0LlChLdl/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
233,Picture,Michael Aaron Williams ,Homeless,2011,United Kingdom,"An elderly person seated on the ground against a wall. They holds a cardboard sign with the written words ""SAVE ME"". Near them, but outside the paiting are other cardboard pieces. Colors: Brown, black, white, and the natural hue of cardboard.
","https://i.pinimg.com/736x/6d/97/f5/6d97f526318f93b564828d7b24ca0bb4.jpg
https://www.facebook.com/michaelaaronwilliamscoffeeart/photos/pb.100063753092478.-2207520000./232348230155678/?type=3",,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
234,Picture,Mabel Vicentef,Lucilia in Albania,2019,Albania,"Portrait of a young person looking down. A blue bird, possibly a macaw, is perched near their face, its beak almost touching their eye. On their t-shirt is a painted scene of a dock leading into a lake surrounded by green mountains. The background is yellow and has two windows. Dominant colors include the yellow of the wall, the deep blue and green of the bird, and natural colors on the t-shirt.",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1560505934279-5D8170K4ZRJDGSDA2TAP/albania.jpg?format=1500w,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
235,Picture,Nark,(Unknown Title),2021,Portugal,"Three portraits of children against a colored background. From the left, the first child is adorned with face paint, beads, and a floral hair accessory. The second child has a curious expression and a blue backdrop, the third child is portrayed with their hand against their face, two bun hairstyles, and a bright yellow background. Colors: red, blue, and yellow in the background, complemented by the skin tones and attire of the children.
",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
242,Picture,Adry Del Rocio & GhCarlos Alberto,«Vuelo Sororo» / «Flight of Sorority»,2021,Mexico,"Two prominent figures surrounded by elements such as hands, butterflies, and flowers, wings. The top person figure seems to gaze upwards while the lower person one holds a heart and gazes to the side. Colors: purple, orange, and pink hues.",https://www.adrydelrocio.art/portfolio-items/3d-mural-vuelo-sororo-flight-of-sorority/,Adry Del Rocio,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
243,Picture,Eduardo Kobra,Paz entre as Nações / Peace Among Nations /,2021,Norway,"Collage of faces belonging to various ages and cultural backgrounds, segmented by colorful vertical stripes. Each face is detailed, capturing unique expressions and features, such as jewelry, facial tattoos, and headwear. A wide range of colors, notably green, blue, yellow, red, pink, and black, with vertical stripes.",https://www.instagram.com/p/BXoR3hLlh13/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,1.60
245,Picture,Alice Pasquini and Uno,Gender Equality Mural,2021,Italy,"Figure on the right appears to be in a position of either pulling or letting go of the hand of the figure on the left, who is draped in a striped cloth. The surrounding wall is adorned with three large paper airplanes, one of which appears to be directed towards an open real window. Dominant colors: beige, black, and white, with some muted browns in the background wall. (Note: A Wall Against Violence Towards Women)","https://www.alicepasquini.com/portfolio/gender-equality-mural
https://www.brooklynstreetart.com/theblog/wp-content/uploads/2021/06/brooklyn-street-art-alice-pasquini-uno-rome-06-21-web-4-771x600.jpg",Alice Pasquini and Uno,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
248,Picture,"Aravani Art Project - Lead Artists: Chandri N, Purushi, Jyothi, Poornima Sukumar, Sadhna Prasad",Trans Lives Matter,2019,India,"Multiple portraits of individuals, each framed by colored geometric and patterned backgrounds. The individuals appear to represent various ages, genders, and emotions. There is an real arched doorway in the center, surrounded by these portraits, through which vegetation can be seen. Colors: yellow, blue, red, pink, green, and orange.",https://aravaniartproject.com/img/Projects/36_start_art_delhi/image_8.jpg,https://aravaniartproject.com/,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
249,Picture,Carla McRae,Gender equity,2018,Australia,"Line-up of seven individuals. Each with distinct clothing and accessories, suggesting different professions or roles. From left to right: A construction worker wearing a yellow hard hat and an orange safety vest; A person in a green shirt holding a dark blue baby swaddled in a blanket; A person wearing a blue hijab and a white dress with red details, holding a baby bottle; A person in a blue outfit with a badge on their chest; A person with short, curly hair wearing a green shirt, holding a book; A person with dark hair in a bun, wearing a dark outfit and glasses, holding a notebook or folder; A person with glasses and a white coat, possibly representing a doctor or a scientist.The background is a solid blue; contrasted with yellow, red, and green in the clothing and accessories. (Note: A Gender Equity wall artwork emphasizing the importance of equal representation, opportunities, and support for all. The artist inverted traditional gender roles in their design: women are depicted as construction workers, chefs, business leaders, and scientists, while men are portrayed in roles typically seen as feminine, such as carers, nurses, and dancers. The idea is to empower women and inspire men by celebrating those in non-traditional roles, challenging societal norms and promoting gender equity).",https://i.pinimg.com/originals/01/8a/80/018a800b0eeffcd400de394f65e413dc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
250,Picture,Emmanuel Jarus,Reaching,2020,United States,"A young person reaching upwards with their left hand, as if trying to grab something round above them. They are wearing a red and white striped shirt. The background is a mix of abstract, colorful shapes in shades of teal, blue, and green. The boy’s right arm appears to be resting.",https://streetartmankind.org/wp-content/uploads/2020/09/Zero-Hunger-Mural.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
251,Picture,Moh Awudu,(Unknown Title),2022,United States,"Three individuals: a person holding a bag of fresh produce, a young person planting, and a person kneeling beside them. In the background, a landscape of fields with a windmill, set against a sky with clouds and an orange-hued sunset. Predominant colors: shades of orange, yellow, green, and blue, with elements of purple, red, and brown in the figures and details. (Note: The picture was created to highlight the issues of global food insecurity and food injustice affecting African-American communities).",https://www.instagram.com/p/CgNAWW3Jjap/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
256,Picture,Lili Cuca & SEPC + Artivista,(Unknown Title),2022,Colombia,"A central portrait of a person with dark skin, their eyes closed in a serene expression, and their hair styled in braids adorned with beads. They wears a colorful necklace and a red garment with vibrant floral patterns. A white bird with outstretched wings, possibly an egret, is flying across their chest, emerging from their dress. Surrounding the central figure are two stylized side profiles of the person in blue hues, as if these images were cut in half with the person in the middle. Each adorned with patterns and decorations. These profiles appear almost like a reflection. The background itself is a mix of bright yellow, pink, and other colors, with abstract plant-like forms. Dominant colors: shades of pink, yellow, blue, purple, and teal; person's brown skin and white egret.",https://www.instagram.com/p/Cbd93KgtkqI/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
257,Picture,Moxaico,Confinamiento / Lockdown ,2020,Spain,"Close-up of a child's face looking through a window. The girl's right hand is pressed against the glass, fingers slightly spread, as they gazes outside with a thoughtful expression. The inside of the space on the left appears dark and cluttered with boxes, some with writings, and a teddy bear. Beyond the window, a scene depicts a bright, sunny day with a children's playground in the background. Colors: shades of brown, beige, and gray in the interior, with brighter blues and greens depicting the exterior playground scene. ",https://www.facebook.com/moxaico.oficial/photos/pb.100027932903399.-2207520000./10158473323427998/?type=3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
260,Picture,Alice Pasquini,Generation Equality,2022,United Kingdom,"Two children on a swing, suspended in front of a vividly colored, abstract background. The child on the left reaches upwards, perhaps trying to grasp the chains of the swing. Colors: turquoise, yellow, and orange.",https://www.instagram.com/p/CgtuE0MuvF7/,"Alice Pasquini, https://www.alicepasquini.com/alice-portfolio/outdoor",,,,,,,,,,,,,,,,,,,,,,,,,,2.59
263,Picture,Emmanuel Jarus,(Unknown Title),2017,Canada,"A figure in a vulnerable position. Only the upper portion of the body is visible lying against a dark backdrop. The figure is depicted with pronounced tattoos on the arm, and appears to be holding an object. The clothing consists of a white tank top and purple garment. In the surrounding environment, there's a doorway and some litter on the ground, suggesting a neglected setting. The background is dominated by deep, dark hues.",https://www.instagram.com/p/Bc0W4NsllbW/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
264,Picture,Emmanuel Jarus,(Unknown Title),2017,Malaysia,"A human figure, possibly a person, with an emphasis on the face and upper body. The individual is holding food in their hands. Small red dots are scattered around them. The artist's signature and a QR code are visible at the bottom corner. The palette consists of blues, greens, reds, and yellows.",https://www.instagram.com/p/BUF6Wg5lauh/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
265,Picture,Dante,Acipenser Sturio,2022,Georgia,"A large book with a red cover and yellowed pages. Emerging from the book are two fish, appearing to swim out from between the pages. The book is placed on a green surface representing grass, with a small window at the bottom, blending the book with a building. The mural prominently uses red for the book cover, yellowish hues for the pages, green for the grass, and realistic colors for the fish. ",https://www.instagram.com/p/ClYlFc6trdl/,Photo by Nick Paniashvili,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
273,Picture,Levalet,(Unknown Title),(Unknown),France,"A person lying on the street. their body is curled up on the edge of a sidewalk, and their head rests on their arm, which is bent beneath them. The person is dressed in a dark outfit, including pants and a shirt, which are covered in blue butterflies. The butterflies are scattered across their body, in contrast to the somber tones of their clothing and the gray background of the wall behind them. The wall is plain, with some faint writing or graffiti in the background. Dominant colors include shades of gray, black, and touches of blue from the butterflies.
",https://i.pinimg.com/564x/5e/b5/fc/5eb5fcbf37f96c8633cf3a6572db2e3b.jpg,"Taken from Sidewalls
((1418) Pinterest)https://www.pinterest.pt/pin/335729347203988667/",,,,,,,,,,,,,,,,,,,,,,,,,,2.10
274,Picture,Moxaico,(Unknown Title),2021,Spain,"Close-up view of several hands intertwined, some with lighter skin and the others with darker skin. Surrounding these hands are abstract, fluid patterns in shades of orange and yellow. Dominant colors include shades of orange, yellow, black, and the natural tones of the intertwined hands.
",https://www.instagram.com/p/CLrNwORp3FH/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
277,Picture,Juanjo Surace,The Trip,2019,Spain,"A large mechanical device, resembling a steampunk contraption, soaring above a cityscape. The device uses a brain as a hot air balloon to float, with pipes extending from it. A pair of hands holding an open book protrudes from the contraption, with the text ""Imagine, Osez, Rêvez"" (Imagine, Dare, Dream) visible on one of its pages. The backdrop consists of towering buildings, clouds, and a smoky ambiance, suggesting a city enveloped in fog or pollution. Dominant colors include shades of blue, gray, brown, and the soft pink of the brain.
",https://www.instagram.com/p/Bw4E8_KAl1g/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
278,Picture,Juanjo Surace,Exercise for the mind,2018,Spain,"A large, robot-like figure. This mechanized figure is depicted in a seated or crouched position, holding an open book in its hands. Its head is transparent and contains a human brain, which is presented on a stand or pedestal inside. Above the figure, a lightbulb illuminates the setting. The environment has an old-world ambiance with detailed brickwork, pipes, and vents. Dominant colors include shades of brown, gray, and the pink hue of the brain.",https://www.instagram.com/p/Bn0tc4gFAYa/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
289,Picture,Kani Alavi,(Unknown Title),2008?,Germany,"Two figures reaching out to each other, almost kissing, but separated by a segmented wall structure. Their bodies and faces showing a desire to connect despite the physical barrier between them. The backdrop is predominantly composed of various shades of blue. This artwork was painted on a piece of the Berlin Wall. Colors: mainly blues. The artist's signature is visible in the lower right corner of the mural.
",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
290,Picture,Bordalo II,Bee,2016,Portugal,"A bee, crafted using various recycled materials, set against a green backdrop. The bee appears intricate with its wings spanning outward. Dominant hues of green and black, with highlights of yellow, gold, and brown. There are also traces of rust, suggesting the use of aged or weathered materials.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
291,Picture,Ketam (Mário Santos) ,Sesimbra é Peixe e Arte na Rua,2017,Portugal,"A lifelike portrayal of an older person with pronounced facial features, dressed in a checkered outfit. They appears against a watery backdrop with a boat and two figures in the background, one of whom is rowing the boat, while the other seems to be fishing. The primary palette consists of grayscale tones, with touches of blue in the water and the boat, and muted colors on the person's outfit. ",Patrícia Arriaga,(https://scontent.flis9-2.fna.fbcdn.net/v/t1.18169-9/18301758_1178727795570008_56497479170315699_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=f798df&_nc_ohc=xkLVDudi92sQ7kNvgF55ck9&_nc_ht=scontent.flis9-2.fna&oh=00_AYDguEKlTOv7plIZfEBeWWwEWctQp6zEUSJeLwWmAW7l-g&oe=66E089D5),,,,,,,,,,,,,,,,,,,,,,,,,,1.88
292,Picture,ARCY,(Unknown Title),2019,Greece,"Elderly person with a deep and thoughtful gaze, sitting in what seems like a contemplative pose. The person wears a dark cap, a greenish-blue jacket, and cream trousers. Elements such as air conditioners and pipes juxtapose against the figure. The backdrop features a unique blend of splatter-like patterns and muted colors, which contrasts the sharp details of the man. Dominated by muted tones of beige, greenish-blue, and gray. The splatter-like patterns in the background incorporate shades of gold, gray, and white.
",https://www.instagram.com/p/By2c6O6AYnG/,ARCY,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
299,Picture,Tamara Alves,You Killed me first,2019,Portugal,"A side profile of a person lying down with their chin resting on their hand. their gaze is directed forward. their right arm is extended downward, and it appears that an arrow has pierced their arm. Monochromatic color scheme, primarily using shades of purple and lavender. The ""YOU KILLED ME FIRST,"" is tattooed on their arm.",https://www.instagram.com/p/Bs7v5NwlV8a/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40
300,Picture,Philippe Hérard,(Unknown Title),2014,France,"An expansive structure of interconnected red and white floaters. A singular person appears to be enmeshed or emerging from this web of floaters. Dominant colors include the red and white of the floaters, beige background, and surrounding greenery.","https://static.wixstatic.com/media/461579_3a45f83c7535424799c6287ce2b97780~mv2_d_3420_2288_s_2.jpg/v1/fill/w_2605,h_1743,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/461579_3a45f83c7535424799c6287ce2b97780~mv2_d_3420_2288_s_2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
301,Picture,J. Samina,2700,2019,Portugal,"A black person's face with a geometric background with red lines and black and white color blocks. The number ""2700"" is featured, corresponding to the postal code of the city. ",https://www.behance.net/gallery/95850655/CONVERSAS-NA-RUA-2019/modules/553601059,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
303,Picture,Etam Cru ,Coffee Break,2014,Italy,"The image depicts a person, who appears to be homeless, wearing a yellow coat and standing inside a trash bin. They are drinking from a mug from which steam is rising. The person has the lid of the trash bin on their head, topped with a banana peel. Visible inside the bin are a cup with a painted heart and various other types of indistinguishable trash. A green trash bag surrounds the bin. The dominant colors in the scene are yellow, orange, gray, and brown.",https://scontent.flis6-1.fna.fbcdn.net/v/t31.18172-8/1655631_681626168619012_2467363320454184603_o.jpg?_nc_cat=102&ccb=1-7&_nc_sid=9267fe&_nc_ohc=0S4sVtcBi3kAX_Csgh3&_nc_ht=scontent.flis6-1.fna&oh=00_AfCSR5wPTXXF_0hlGnVK25eJ7LDRMNvIYZJWDuqS1OVxhA&oe=63F288CE,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
305,Picture,Alice Pasquini,Sopra le righe,2019,Italy,"Three figures of a girl, captured in various dynamic poses, as if in motion, on a muted peach backdrop with windows. Dominant colors are peach (background), shades of blue (clothing), and natural skin tones.",https://www.alicepasquini.com/en/portfolio/rome-quadraro-2019,Jessica Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
306,Picture,Alice Pasquini & Uno,San Pietro Magisano (CZ),2022,Italy,"A figure seated with their knees pulled close to their chest. T+G160heir long hair flows wildly in all directions, creating a sense of movement. The background is a vibrant and abstract swirl of colors, including reds, oranges, blues, and greens. Scattered throughout the background are geometric shapes, representing paper cranes or birds.",https://www.alicepasquini.com/en/portfolio/san-pietro-magisano-cz,Alice Pasquini,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
308,Picture,Alice Pasquini,I’m not sleeping,2021,France,"A young person lying down. their gaze is directed to the viewer. Dominant colors include blues, whites, oranges, and greens.",https://www.instagram.com/p/CNm2MOhDJYV/?utm_source=ig_embed&utm_campaign=loading,Alice Pasquini,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
309,Picture,Eduardo Kobra,Ciência e Fé / Science and Faith,2022,Brazil,"Close-up of a hand painted with the colors of the rainbow. Draped over the wrist is a stethoscope. The hand is set against a geometric backdrop consisting of triangles in various colors. The hand features the colors of the LGBTQ+ pride flag; the background is composed of triangles in shades of blue, green, yellow, orange, and red. (On the artist's website, it's noted that the mural was painted to honor São Paulo's 468th anniversary, located on the facade of the Hospital das Clínicas. This artwork, featuring a doctor's praying hands, underscores the harmony between faith in God and trust in medicine, expressing appreciation for the hospital's healthcare professionals.)",https://www.instagram.com/p/CZSXaQaljlr/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
310,Picture,Eduardo Kobra,(Unknown Title),2021,Brazil,"Two figures, an adult and a girl, embracing each other. The adult is dressed in a blue smock, while the person wears a white T-shirt. Both figures have their faces and hands painted in the vibrant colors. The person also carries a backpack in camouflage colors adorned with a peace symbol. They are set against the backdrop of a building resembling a school, indicated by a green chalkboard that features a drawing of wings. (This mural, created in Suzano, São Paulo, in response to the 2019 massacre at Raul Brasil school, was a community-involved initiative, drawing inspiration from the artist’s family members and creatively using pencil imagery in the peace symbol to promote remembrance and hope and a message of gratitude, expressing thanks to all educators).",https://www.instagram.com/p/CVEQEeCs22R/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.24
312,Picture,ETAM Boier Chylo Kome Pain Pener Roem Tone,10,2009,Poland,"A green landscape populated by a towering tree, multiple treehouses interconnected by wooden bridges, and a large upside-down human figure at the bottom. Various elements of nature, including leaves and vine. Predominant colors are shades of green, representing the foliage, and earthy browns of the wood of the treehouses. The blue of the human figure's shirt and touches of red and yellow in the treehouses.
",http://www.etamcru.com/pub/thumbs/-etam-bdg-c2c-jpg-1600-900.jpg,http://www.etamcru.com/etam/10,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
313,Picture,Eduardo Kobra,The Braves of 9/11. Bravos do 11 de Setembro 2001,2018,United States,"A firefighter in full gear, kneeling against a backdrop of the American flag. The firefighter holds a hose, and there is a badge with the number ""343"" on the helmet. Colors: Red, white, blue, black, yellow in multiple shades. (Note: On the artist's website, it is stated that the mural seeks to convey sorrow for the many lives lost and to sympathize with those who lost their loved ones in the 9/11 attack—and subsequently, in the wars against terror triggered on that fateful day. It is also an honor to the courage of the men and women who worked in the rescue. The image is a reinterpretation of the photograph by Matthew Mcdermott, featuring Mike Bellatoni—one of the many heroes who survived that historic day. On the helmet, the number 343 is a reference to the number of firefighters who died that day; it also includes the Twin Towers and the flag of the United States. The stars may represent all the lives lost in the tragedy)",https://www.instagram.com/p/CiXIPixuqgS/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
314,Picture,Eduardo Kobra,Ellis Island ,2018,United States,"Four distinct human faces in colors, with each face divided into sections showcasing various hues and geometric patterns. Above these faces, the word ""ELLIS"" is written with similar geometric patterns in the backdrop. A broad spectrum of colors including but not limited to blue, yellow, red, green, purple, pink, and orange, with each face exhibiting a mix of these colors in segmented patterns. (On the artist's website, it is mentioned that the mural 'Ellis Island' features five faces representing different ethnicities. This symbolizes the diverse immigrant populations that have sought better lives in New York.)",https://www.instagram.com/p/Bpvp8QjF2Qa/,Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
